Year,Instrument,Type,Disorder,Codeveloped
2015,SAD-bank,IRT calibrated item bank,Social anxiety disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2015,PD-bank,IRT calibrated item bank,Panic disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2015,PTSD-bank,IRT calibrated item bank,Post-traumatic stress disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2015,OCD-bank,IRT calibrated item bank,Obessive compulsive disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2015,PLE-bank,IRT calibrated item bank,Psychotic like experiences,"Philip Batterham, Alison Calear, Natacha Carragher"
2015,ADHD-bank,IRT calibrated item bank,Adult ADHD,"Philip Batterham, Alison Calear, Natacha Carragher"
2015,STB-bank,IRT calibrated item bank,Suicidal thoughts and behaviours,"Philip Batterham, Alison Calear, Natacha Carragher"
2015,DUD-bank,IRT calibrated item bank,Drug use/harms,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,SAD Static severity screener,IRT-based severity screener,Social anxiety disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,PD Static short form,IRT-based severity screener,Panic disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,OCD Static short form,IRT-based severity screener,Obsessive compulsive disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,SAD Adaptive severity screener,IRT-based CAT,Social anxiety disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,PD Adaptive severity screener,IRT-based CAT,Panic disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,OCD Adaptive severity screener,IRT-based CAT,Obsessive compulsive disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,SAD Static diagnostic screener,Regression/Random forest-based diagnostic screener,Social anxiety disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,PD Static diagnostic screener,Regression/Random forest-based diagnostic screener,Panic disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,OCD Static diagnostic screener,Regression/Random forest-based diagnostic screener,Obsessive compulsive disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,SAD Adaptive diagnostic screener,IRT-based Computerised Classification Test,Social anxiety disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,PD Adaptive diagnostic screener,IRT-based Computerised Classification Test,Panic disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
2016,OCD Adaptive diagnostic screener,IRT-based Computerised Classification Test,Obsessive compulsive disorder,"Philip Batterham, Alison Calear, Natacha Carragher"
